Age,NOC,Sport
15.0,ITA,Swimming
15.0,ITA,Swimming
20.0,AUS,Fencing
25.0,IND,Hockey
21.0,IND,Hockey
37.0,ITA,Archery
28.0,ITA,Shooting
28.0,ITA,Shooting
31.0,URS,Basketball
21.0,URS,Swimming
21.0,URS,Swimming
24.0,GDR,Volleyball
19.0,URS,Gymnastics
19.0,URS,Gymnastics
19.0,URS,Gymnastics
19.0,URS,Gymnastics
19.0,URS,Gymnastics
19.0,URS,Gymnastics
20.0,URS,Hockey
22.0,GDR,Boxing
18.0,GDR,Canoeing
24.0,AUS,Cycling
30.0,AUS,Athletics
29.0,FRA,Fencing
29.0,FRA,Fencing
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
16.0,HUN,Swimming
16.0,HUN,Swimming
20.0,HUN,Handball
23.0,AUS,Diving
23.0,AUS,Diving
27.0,HUN,Canoeing
18.0,URS,Rowing
26.0,ITA,Water Polo
27.0,ITA,Athletics
14.0,ITA,Swimming
14.0,ITA,Swimming
27.0,GBR,Athletics
18.0,AUS,Swimming
18.0,AUS,Swimming
18.0,AUS,Swimming
21.0,HUN,Athletics
21.0,HUN,Athletics
20.0,HUN,Shooting
25.0,FRA,Rowing
16.0,AUS,Swimming
16.0,AUS,Swimming
16.0,AUS,Swimming
32.0,GBR,Athletics
24.0,FRA,Modern Pentathlon
24.0,FRA,Modern Pentathlon
17.0,ITA,Swimming
20.0,ITA,Swimming
20.0,ITA,Swimming
25.0,GDR,Shooting
22.0,GBR,Diving
22.0,AUS,Weightlifting
18.0,GDR,Athletics
40.0,ITA,Shooting
25.0,GBR,Cycling
27.0,HUN,Canoeing
21.0,GDR,Rowing
19.0,POR,Swimming
19.0,POR,Swimming
21.0,GDR,Rowing
25.0,FRA,Athletics
26.0,URS,Hockey
31.0,URS,Rowing
20.0,GBR,Boxing
33.0,GDR,Athletics
26.0,GDR,Athletics
27.0,HUN,Sailing
24.0,GDR,Weightlifting
26.0,URS,Athletics
26.0,HUN,Wrestling
34.0,FRA,Rowing
34.0,FRA,Rowing
21.0,ITA,Judo
43.0,ITA,Shooting
23.0,FRA,Fencing
23.0,URS,Rowing
21.0,GDR,Athletics
20.0,HUN,Wrestling
